id_locomotiva,timestamp_leitura,velocidade_atual_kmh,posicao_acelerador_notch,peso_total_toneladas,inclinacao_terreno_graus,target_consumo_litros_hr
LOC_LOG_9002,2024-01-01 00:09:00,15.5,2,22000,-1.46,209.86
LOC_LOG_9000,2024-01-01 00:24:00,15.1,8,12000,1.1,432.75
LOC_LOG_9017,2024-01-01 00:44:00,42.5,1,22000,-1.06,144.05
LOC_LOG_9012,2024-01-01 00:51:00,72.8,0,15000,0.34,108.45
LOC_LOG_9009,2024-01-01 01:32:00,34.1,1,15000,2.2,261.83
LOC_LOG_9001,2024-01-01 02:20:00,57.7,0,15000,-2.06,88.59
LOC_LOG_9014,2024-01-01 02:57:00,71.9,6,12000,1.42,364.52
LOC_LOG_9015,2024-01-01 02:59:00,74.6,5,22000,0.22,325.86
LOC_LOG_9018,2024-01-01 04:23:00,10.4,7,12000,2.38,460.89
LOC_LOG_9013,2024-01-01 06:50:00,49.6,5,12000,-0.18,259.12
LOC_LOG_9012,2024-01-01 09:25:00,42.4,6,15000,-1.29,315.69
LOC_LOG_9018,2024-01-01 10:48:00,54.2,1,18000,-0.94,151.58
LOC_LOG_9016,2024-01-01 11:13:00,12.1,0,8000,1.88,175.11
LOC_LOG_9005,2024-01-01 11:41:00,20.4,6,18000,0.91,365.68
LOC_LOG_9006,2024-01-01 13:58:00,1.8,6,8000,-2.24,259.52
LOC_LOG_9014,2024-01-01 14:10:00,28.7,4,22000,-1.92,275.98
LOC_LOG_9012,2024-01-01 14:16:00,26.4,1,12000,0.18,123.9
LOC_LOG_9009,2024-01-01 14:34:00,5.8,8,15000,1.07,444.49
LOC_LOG_9001,2024-01-01 15:29:00,40.9,5,12000,0.01,254.45
LOC_LOG_9018,2024-01-01 16:10:00,62.1,8,18000,0.87,450.54
LOC_LOG_9018,2024-01-01 17:31:00,37.2,1,18000,-2.07,149.52
LOC_LOG_9015,2024-01-01 18:41:00,8.2,0,12000,1.1,160.42
LOC_LOG_9015,2024-01-01 18:57:00,28.7,8,8000,1.62,424.08
LOC_LOG_9013,2024-01-01 19:58:00,38.9,8,12000,-0.83,348.81
LOC_LOG_9001,2024-01-01 20:35:00,24.2,7,15000,0.32,344.02
LOC_LOG_9008,2024-01-01 22:04:00,49.0,6,12000,0.25,320.79
LOC_LOG_9004,2024-01-01 22:38:00,62.8,8,12000,1.04,408.96
LOC_LOG_9007,2024-01-02 00:52:00,29.8,6,12000,-0.64,281.67
LOC_LOG_9017,2024-01-02 01:46:00,53.8,1,22000,1.63,276.54
LOC_LOG_9011,2024-01-02 02:40:00,50.6,2,12000,2.16,266.24
LOC_LOG_9009,2024-01-02 04:03:00,1.6,2,18000,0.52,209.31
LOC_LOG_9009,2024-01-02 04:41:00,67.9,4,12000,-0.68,189.1
LOC_LOG_9019,2024-01-02 04:43:00,74.2,3,22000,2.31,356.81
LOC_LOG_9000,2024-01-02 04:53:00,50.7,8,22000,-2.15,432.34
LOC_LOG_9019,2024-01-02 04:56:00,75.9,8,8000,1.9,435.02
LOC_LOG_9016,2024-01-02 06:30:00,37.1,4,15000,1.19,301.82
LOC_LOG_9006,2024-01-02 07:10:00,17.8,3,18000,-2.22,211.1
LOC_LOG_9015,2024-01-02 07:14:00,78.9,5,8000,-2.34,220.81
LOC_LOG_9017,2024-01-02 08:06:00,55.2,4,15000,-1.93,214.67
LOC_LOG_9019,2024-01-02 08:27:00,71.7,7,12000,-1.98,325.29
LOC_LOG_9006,2024-01-02 08:31:00,49.1,2,18000,1.47,251.52
LOC_LOG_9001,2024-01-02 09:35:00,31.8,3,15000,-1.13,194.45
LOC_LOG_9012,2024-01-02 10:22:00,75.8,6,15000,-0.12,313.08
LOC_LOG_9010,2024-01-02 10:24:00,10.3,1,18000,-0.35,149.85
LOC_LOG_9014,2024-01-02 10:49:00,47.3,5,12000,0.81,312.67
LOC_LOG_9017,2024-01-02 11:43:00,12.0,1,18000,1.19,205.36
LOC_LOG_9008,2024-01-02 13:17:00,42.7,4,15000,1.62,320.59
LOC_LOG_9000,2024-01-02 13:52:00,51.6,0,15000,0.29,122.25
LOC_LOG_9016,2024-01-02 14:41:00,32.0,4,12000,-0.7,211.32
LOC_LOG_9014,2024-01-02 14:45:00,20.6,7,8000,0.32,298.71
LOC_LOG_9007,2024-01-02 15:00:00,5.5,0,22000,-1.56,122.88
LOC_LOG_9009,2024-01-02 15:54:00,8.4,6,15000,1.69,416.02
LOC_LOG_9012,2024-01-02 16:08:00,33.2,8,18000,1.34,474.17
LOC_LOG_9012,2024-01-02 16:27:00,36.0,4,8000,-0.38,204.53
LOC_LOG_9018,2024-01-02 16:31:00,50.3,2,22000,-1.64,188.85
LOC_LOG_9014,2024-01-02 16:34:00,46.3,0,15000,-1.77,95.98
LOC_LOG_9014,2024-01-02 16:54:00,34.3,3,8000,0.76,201.69
LOC_LOG_9003,2024-01-02 17:32:00,44.3,0,15000,0.29,96.98
LOC_LOG_9002,2024-01-02 18:08:00,32.4,0,15000,0.34,118.41
LOC_LOG_9001,2024-01-02 18:15:00,2.0,2,12000,-0.25,135.16
LOC_LOG_9017,2024-01-02 18:28:00,18.0,4,12000,-0.5,212.61
LOC_LOG_9011,2024-01-02 19:13:00,55.5,1,15000,-2.3,135.28
LOC_LOG_9017,2024-01-02 22:12:00,13.0,0,8000,2.3,203.3
LOC_LOG_9019,2024-01-02 22:39:00,13.1,0,15000,1.86,197.03
LOC_LOG_9014,2024-01-02 22:47:00,40.9,3,22000,-0.08,230.27
LOC_LOG_9001,2024-01-03 02:52:00,13.0,2,22000,0.48,231.82
LOC_LOG_9013,2024-01-03 03:46:00,20.4,0,22000,-0.69,124.66
LOC_LOG_9018,2024-01-03 04:43:00,70.6,4,15000,2.28,367.09
LOC_LOG_9009,2024-01-03 06:00:00,61.9,3,12000,-2.35,164.5
LOC_LOG_9017,2024-01-03 06:54:00,79.6,5,15000,-2.12,258.17
LOC_LOG_9016,2024-01-03 06:57:00,33.7,0,15000,1.77,200.92
LOC_LOG_9002,2024-01-03 08:28:00,77.9,1,18000,-2.41,141.22
LOC_LOG_9001,2024-01-03 08:38:00,11.7,4,12000,1.66,326.01
LOC_LOG_9006,2024-01-03 09:21:00,47.0,3,18000,0.01,227.44
LOC_LOG_9003,2024-01-03 10:07:00,57.6,2,18000,-0.28,168.8
LOC_LOG_9017,2024-01-03 11:44:00,56.6,8,18000,-1.74,390.69
LOC_LOG_9011,2024-01-03 12:56:00,53.6,6,12000,-2.43,279.96
LOC_LOG_9005,2024-01-03 13:32:00,10.7,5,15000,-2.1,264.67
LOC_LOG_9009,2024-01-03 13:48:00,46.9,8,12000,1.23,413.35
LOC_LOG_9010,2024-01-03 13:58:00,26.6,2,18000,-1.73,178.89
LOC_LOG_9005,2024-01-03 14:40:00,35.3,1,8000,0.09,120.98
LOC_LOG_9008,2024-01-03 15:22:00,20.4,6,12000,-0.06,265.79
LOC_LOG_9000,2024-01-03 16:24:00,15.4,8,22000,0.64,447.53
LOC_LOG_9014,2024-01-03 19:46:00,20.2,2,8000,-0.88,132.25
LOC_LOG_9019,2024-01-03 20:07:00,79.0,0,18000,0.79,149.55
LOC_LOG_9002,2024-01-03 22:04:00,13.7,6,8000,-1.37,236.82
LOC_LOG_9000,2024-01-03 22:51:00,6.1,0,15000,-0.19,94.87
LOC_LOG_9019,2024-01-03 23:13:00,61.0,8,12000,1.56,436.0
LOC_LOG_9003,2024-01-03 23:36:00,23.4,6,18000,2.16,453.3
LOC_LOG_9017,2024-01-03 23:47:00,16.9,1,8000,-0.34,82.09
LOC_LOG_9017,2024-01-03 23:48:00,31.1,8,22000,-0.26,401.84
LOC_LOG_9010,2024-01-04 00:39:00,59.5,5,8000,0.02,226.02
LOC_LOG_9002,2024-01-04 00:55:00,58.3,1,8000,-2.02,77.76
LOC_LOG_9010,2024-01-04 01:47:00,32.9,6,8000,-1.3,248.97
LOC_LOG_9007,2024-01-04 03:04:00,18.4,3,22000,0.4,246.21
LOC_LOG_9017,2024-01-04 06:16:00,4.0,0,18000,-2.28,85.14
LOC_LOG_9011,2024-01-04 07:39:00,19.8,5,15000,1.85,390.07
LOC_LOG_9005,2024-01-04 08:16:00,36.5,5,15000,-0.09,255.29
LOC_LOG_9017,2024-01-04 09:46:00,48.6,3,22000,-2.06,248.68
LOC_LOG_9003,2024-01-04 11:21:00,67.5,4,18000,-1.19,241.05
LOC_LOG_9012,2024-01-04 11:33:00,45.4,3,12000,0.4,227.63
LOC_LOG_9015,2024-01-04 14:33:00,35.5,6,18000,1.41,402.99
LOC_LOG_9017,2024-01-04 15:01:00,48.4,0,18000,0.94,162.54
LOC_LOG_9011,2024-01-04 16:23:00,26.0,5,15000,-1.15,271.64
LOC_LOG_9017,2024-01-04 16:50:00,48.6,6,18000,1.32,426.48
LOC_LOG_9008,2024-01-04 17:08:00,9.0,7,22000,1.85,497.25
LOC_LOG_9012,2024-01-04 17:32:00,50.4,7,18000,0.87,396.92
LOC_LOG_9002,2024-01-04 17:37:00,50.3,3,12000,1.0,255.82
LOC_LOG_9015,2024-01-04 18:23:00,31.6,1,12000,0.32,132.45
LOC_LOG_9012,2024-01-04 18:30:00,30.4,1,8000,1.86,202.06
LOC_LOG_9007,2024-01-04 18:35:00,74.3,0,22000,0.4,154.3
LOC_LOG_9013,2024-01-04 18:54:00,17.2,2,15000,1.81,252.97
LOC_LOG_9010,2024-01-04 19:54:00,33.4,8,12000,-1.39,349.18
LOC_LOG_9009,2024-01-04 19:57:00,23.8,4,12000,-1.02,224.26
LOC_LOG_9003,2024-01-04 20:39:00,0.5,0,8000,-1.57,57.7
LOC_LOG_9018,2024-01-04 20:55:00,41.5,4,8000,-1.8,186.36
LOC_LOG_9003,2024-01-04 21:00:00,26.0,7,8000,-2.37,283.52
LOC_LOG_9008,2024-01-05 02:33:00,0.1,7,8000,-2.01,296.64
LOC_LOG_9011,2024-01-05 03:15:00,49.4,6,22000,0.05,334.64
LOC_LOG_9012,2024-01-05 04:36:00,42.1,8,15000,0.19,373.88
LOC_LOG_9018,2024-01-05 07:27:00,71.1,7,18000,2.47,507.5
LOC_LOG_9008,2024-01-05 10:39:00,65.4,4,12000,2.08,335.85
LOC_LOG_9004,2024-01-05 11:53:00,68.9,5,22000,1.57,399.54
LOC_LOG_9009,2024-01-05 12:20:00,53.1,6,22000,-0.81,342.17
LOC_LOG_9005,2024-01-05 14:31:00,68.7,5,18000,2.49,421.31
LOC_LOG_9012,2024-01-05 15:04:00,58.3,7,12000,1.24,401.22
LOC_LOG_9003,2024-01-05 17:13:00,45.0,2,18000,2.29,314.73
LOC_LOG_9010,2024-01-05 17:25:00,53.7,4,8000,-1.69,166.65
LOC_LOG_9001,2024-01-05 19:08:00,52.1,3,22000,-0.12,235.87
LOC_LOG_9001,2024-01-05 19:11:00,19.9,6,22000,-0.92,345.1
LOC_LOG_9014,2024-01-05 20:43:00,69.4,1,18000,1.23,216.61
LOC_LOG_9017,2024-01-05 21:49:00,55.9,6,22000,0.18,364.21
LOC_LOG_9019,2024-01-05 23:16:00,61.0,4,18000,2.18,383.24
LOC_LOG_9001,2024-01-06 02:58:00,12.9,0,12000,0.32,104.21
LOC_LOG_9007,2024-01-06 03:09:00,17.3,5,8000,0.79,284.64
LOC_LOG_9007,2024-01-06 04:16:00,21.2,1,15000,0.93,176.65
LOC_LOG_9010,2024-01-06 04:25:00,17.1,0,15000,-0.87,94.31
LOC_LOG_9009,2024-01-06 05:39:00,39.6,1,12000,-2.07,108.65
LOC_LOG_9014,2024-01-06 05:54:00,43.0,7,22000,-0.15,365.33
LOC_LOG_9004,2024-01-06 06:09:00,53.5,1,18000,-1.87,154.43
LOC_LOG_9015,2024-01-06 06:17:00,79.7,6,12000,1.25,346.25
LOC_LOG_9004,2024-01-06 07:19:00,46.2,4,15000,2.29,357.18
LOC_LOG_9015,2024-01-06 08:48:00,21.5,6,18000,-1.06,320.49
LOC_LOG_9006,2024-01-06 08:52:00,4.5,5,12000,2.39,373.72
LOC_LOG_9001,2024-01-06 08:58:00,77.4,2,12000,-0.11,144.34
LOC_LOG_9012,2024-01-06 10:37:00,74.3,0,18000,2.38,249.67
LOC_LOG_9012,2024-01-06 10:48:00,71.3,1,12000,1.09,186.91
LOC_LOG_9010,2024-01-06 10:53:00,60.0,0,8000,-1.48,35.15
LOC_LOG_9019,2024-01-06 15:03:00,11.3,6,8000,-1.4,250.89
LOC_LOG_9018,2024-01-06 16:51:00,47.7,6,8000,-0.2,241.11
LOC_LOG_9007,2024-01-06 17:56:00,78.8,1,12000,2.19,243.2
LOC_LOG_9005,2024-01-06 20:04:00,23.6,7,8000,1.17,360.27
LOC_LOG_9007,2024-01-06 20:24:00,36.2,7,15000,0.06,326.55
LOC_LOG_9007,2024-01-06 20:48:00,31.0,6,8000,-1.09,274.21
LOC_LOG_9017,2024-01-06 22:16:00,62.4,8,15000,0.32,399.75
LOC_LOG_9018,2024-01-06 22:25:00,36.0,2,18000,0.73,220.61
LOC_LOG_9015,2024-01-06 22:27:00,58.8,2,22000,0.82,252.71
LOC_LOG_9013,2024-01-06 22:45:00,53.4,0,8000,-1.33,57.72
LOC_LOG_9005,2024-01-06 22:48:00,21.5,2,15000,1.6,248.31
LOC_LOG_9009,2024-01-06 22:50:00,67.4,4,12000,-0.93,215.15
LOC_LOG_9006,2024-01-07 01:13:00,18.3,2,8000,0.13,118.87
LOC_LOG_9014,2024-01-07 01:46:00,19.6,5,12000,-0.55,237.94
LOC_LOG_9008,2024-01-07 02:29:00,75.8,4,18000,-0.18,248.23
LOC_LOG_9016,2024-01-07 03:46:00,71.4,1,8000,-0.28,102.35
LOC_LOG_9007,2024-01-07 04:31:00,58.0,1,12000,0.99,158.83
LOC_LOG_9006,2024-01-07 04:43:00,57.4,0,22000,-0.29,121.35
LOC_LOG_9009,2024-01-07 04:54:00,34.6,7,8000,0.19,329.02
LOC_LOG_9011,2024-01-07 09:28:00,29.3,8,12000,1.9,459.97
LOC_LOG_9000,2024-01-07 09:35:00,9.6,5,15000,-0.94,291.55
LOC_LOG_9005,2024-01-07 10:20:00,8.6,4,22000,1.4,348.35
LOC_LOG_9005,2024-01-07 12:41:00,0.7,7,15000,-1.49,331.68
LOC_LOG_9012,2024-01-07 13:12:00,7.6,4,18000,-0.91,237.63
LOC_LOG_9014,2024-01-07 13:12:00,52.9,0,12000,2.02,202.31
LOC_LOG_9001,2024-01-07 14:56:00,38.6,7,12000,-0.72,331.14
LOC_LOG_9008,2024-01-07 15:59:00,3.5,3,15000,0.67,251.57
LOC_LOG_9011,2024-01-07 16:26:00,32.4,2,8000,2.49,268.73
LOC_LOG_9007,2024-01-07 16:29:00,22.0,3,12000,-2.1,196.27
LOC_LOG_9002,2024-01-07 17:31:00,65.4,8,15000,-2.31,382.98
LOC_LOG_9014,2024-01-07 17:35:00,14.5,4,12000,0.91,263.9
LOC_LOG_9000,2024-01-07 20:49:00,4.6,8,12000,-0.41,372.87
LOC_LOG_9012,2024-01-07 21:02:00,16.5,0,15000,-0.29,88.7
LOC_LOG_9012,2024-01-07 23:37:00,61.7,4,12000,-0.86,204.07
LOC_LOG_9019,2024-01-08 01:24:00,42.9,8,8000,1.68,429.85
LOC_LOG_9009,2024-01-08 02:07:00,45.3,1,8000,-1.31,83.01
LOC_LOG_9019,2024-01-08 02:33:00,48.1,8,22000,0.41,416.41
LOC_LOG_9009,2024-01-08 02:47:00,0.9,2,15000,-1.0,137.5
LOC_LOG_9016,2024-01-08 03:13:00,28.7,2,8000,2.06,263.16
LOC_LOG_9007,2024-01-08 03:18:00,37.8,6,8000,1.76,361.92
LOC_LOG_9015,2024-01-08 04:58:00,50.7,5,15000,1.3,347.0
LOC_LOG_9019,2024-01-08 05:38:00,52.6,1,18000,0.34,168.35
LOC_LOG_9000,2024-01-08 05:40:00,77.6,3,22000,1.83,365.98
LOC_LOG_9005,2024-01-08 05:57:00,27.9,4,22000,-0.5,271.9
LOC_LOG_9001,2024-01-08 06:20:00,32.2,5,8000,0.86,261.7
LOC_LOG_9006,2024-01-08 06:29:00,15.4,0,8000,-0.99,44.31
LOC_LOG_9002,2024-01-08 07:19:00,15.0,3,22000,0.21,263.55
LOC_LOG_9018,2024-01-08 07:46:00,9.4,2,18000,2.2,319.25
LOC_LOG_9016,2024-01-08 07:52:00,51.5,0,8000,0.15,63.67
LOC_LOG_9011,2024-01-08 08:35:00,19.2,3,18000,-2.03,231.04
LOC_LOG_9002,2024-01-08 08:38:00,56.8,2,15000,1.31,248.05
LOC_LOG_9012,2024-01-08 09:32:00,53.7,6,15000,1.53,390.25
LOC_LOG_9019,2024-01-08 10:34:00,30.3,5,15000,1.72,384.41
LOC_LOG_9017,2024-01-08 11:40:00,10.5,2,15000,0.5,189.97
LOC_LOG_9003,2024-01-08 14:30:00,65.9,0,22000,0.28,153.91
LOC_LOG_9014,2024-01-08 14:35:00,0.4,0,18000,1.24,180.45
LOC_LOG_9018,2024-01-08 14:57:00,65.2,7,8000,0.73,319.7
LOC_LOG_9007,2024-01-08 15:01:00,40.9,0,15000,1.03,158.98
LOC_LOG_9004,2024-01-08 15:12:00,61.2,3,18000,2.08,318.56
LOC_LOG_9010,2024-01-08 15:18:00,48.7,8,12000,-1.23,372.93
LOC_LOG_9009,2024-01-08 15:47:00,31.3,4,8000,-0.44,199.19
LOC_LOG_9001,2024-01-08 16:16:00,45.0,3,12000,2.37,327.09
LOC_LOG_9007,2024-01-08 19:01:00,69.9,3,22000,2.48,355.95
LOC_LOG_9013,2024-01-08 22:41:00,16.8,5,18000,1.99,402.11
LOC_LOG_9004,2024-01-08 23:24:00,27.0,2,12000,1.55,242.96
LOC_LOG_9012,2024-01-08 23:41:00,15.6,4,12000,-1.93,222.21
LOC_LOG_9011,2024-01-08 23:49:00,37.9,0,12000,0.59,118.89
LOC_LOG_9012,2024-01-08 23:52:00,4.7,4,15000,1.15,313.12
LOC_LOG_9011,2024-01-08 23:58:00,28.0,1,12000,-0.24,111.48
LOC_LOG_9005,2024-01-09 00:17:00,78.0,6,22000,-0.83,321.58
LOC_LOG_9005,2024-01-09 00:19:00,26.1,6,18000,-2.32,328.06
LOC_LOG_9019,2024-01-09 01:32:00,47.1,6,15000,-0.62,299.38
LOC_LOG_9018,2024-01-09 04:32:00,5.8,7,8000,-1.76,272.66
LOC_LOG_9009,2024-01-09 06:33:00,52.1,0,12000,1.78,183.56
LOC_LOG_9008,2024-01-09 06:51:00,22.7,0,22000,-0.68,129.72
LOC_LOG_9007,2024-01-09 07:17:00,70.1,8,12000,-1.01,371.99
LOC_LOG_9015,2024-01-09 07:34:00,30.6,0,15000,1.68,190.04
LOC_LOG_9018,2024-01-09 08:00:00,5.3,0,12000,0.61,113.77
LOC_LOG_9019,2024-01-09 08:06:00,40.3,3,12000,1.33,242.53
LOC_LOG_9010,2024-01-09 08:07:00,22.8,5,15000,0.1,276.46
LOC_LOG_9017,2024-01-09 08:11:00,68.9,7,15000,0.33,360.16
